지점,지점명,일시,평균기온(°C),최고기온(°C),최저기온(°C),평균풍속(m/s),평균운량(1/10)
108,서울,Jan-05,-2.5,7.3,-11,2.4,2.7
108,서울,Feb-05,-1.9,10.5,-13.1,2.8,3.5
108,서울,Mar-05,4.1,17.6,-6.5,2.9,3.8
108,서울,Apr-05,13.2,29.8,4.1,3,4.3
108,서울,May-05,17.7,30.2,6.3,2.4,4.1
108,서울,Jun-05,22.7,32,15.5,2.4,6.3
108,서울,Jul-05,25.3,34.2,18.3,2.2,7.2
108,서울,Aug-05,25.1,35,16.5,2.6,6.9
108,서울,Sep-05,21.8,30.8,13.8,2.3,6.4
108,서울,Oct-05,14.7,24.9,3,1.7,3.4
108,서울,Nov-05,8.6,21.8,-1.1,2.2,2.9
108,서울,Dec-05,-3.9,11.1,-14,2.5,2.2
108,서울,Jan-06,-0.2,9.3,-10.1,2.1,4
108,서울,Feb-06,0.1,11.5,-14.1,2.6,4.3
108,서울,Mar-06,5.2,17.2,-6.9,2.9,4.2
108,서울,Apr-06,11.6,22.2,2.9,3,5.9
108,서울,May-06,18.4,28.3,10.8,2.5,5.2
108,서울,Jun-06,21.8,32.4,14.1,2.2,6.1
108,서울,Jul-06,23.1,30.1,17.5,2.3,8.7
108,서울,Aug-06,27,34.7,20.8,2.1,5.4
108,서울,Sep-06,21.1,30.3,11.3,2.1,4.7
108,서울,Oct-06,17.9,27.5,7.9,2,3.2
108,서울,Nov-06,8.4,20.2,-1.3,2.4,4.3
108,서울,Dec-06,1.4,12.6,-12.3,2.1,3.7
108,서울,Jan-07,0.4,11.8,-7.6,2,3.5
108,서울,Feb-07,4,14.8,-8.6,2.3,3.3
108,서울,Mar-07,6.1,16.2,-7.6,2.7,5.2
108,서울,Apr-07,11.4,22.5,1.6,2.8,4.8
108,서울,May-07,18.1,30.1,9,2.6,5.5
108,서울,Jun-07,23.2,33.2,14.1,2.3,6.1
108,서울,Jul-07,24.2,31.2,17.7,2.4,7.6
108,서울,Aug-07,26.5,33.2,19.8,2.6,6.9
108,서울,Sep-07,21.5,31.1,14.1,2.5,7.3
108,서울,Oct-07,15.1,26.2,3.2,2.1,4.9
108,서울,Nov-07,6.7,19.3,-5.5,2.2,3.1
108,서울,Dec-07,1.8,13.8,-7.4,2.4,4
108,서울,Jan-08,-1.7,7.3,-11.1,2.3,4.5
108,서울,Feb-08,-1.2,10.5,-10.1,2.7,2.3
108,서울,Mar-08,7.3,19.8,-1.7,2.6,4.2
108,서울,Apr-08,14.1,28,3.8,2.7,4.6
108,서울,May-08,17.7,28.5,8.1,2.7,4.8
108,서울,Jun-08,21.5,29.6,13.7,2.7,6.5
108,서울,Jul-08,25.1,32.9,20.2,2.4,8.2
108,서울,Aug-08,25.3,35.4,16.3,2.5,5.4
108,서울,Sep-08,22,32,10.3,1.9,5.2
108,서울,Oct-08,16.1,28.3,5.6,2,3.9
108,서울,Nov-08,7.6,18.4,-7.2,2.2,4.3
108,서울,Dec-08,1.1,13.3,-13.1,2.5,4.3
108,서울,Jan-09,-2,12.2,-11.4,2.5,2.5
108,서울,Feb-09,2.9,16.1,-8.6,2.5,5.3
108,서울,Mar-09,6,22.2,-3.3,3.1,4.4
108,서울,Apr-09,12.7,25.8,2.2,2.6,4.1
108,서울,May-09,19.1,31,9.8,2.5,4.3
108,서울,Jun-09,22.4,32.4,14.3,2.5,5.4
108,서울,Jul-09,24.3,32.4,18.7,2.3,6.7
108,서울,Aug-09,25.7,34.4,16.4,2.2,5.6
108,서울,Sep-09,21.8,29.9,14.4,1.8,4
108,서울,Oct-09,16,26.4,6.2,2.1,2.5
108,서울,Nov-09,6.9,21.8,-4.3,2.5,5.1
108,서울,Dec-09,-1,10.1,-12.9,2.5,3.8
108,서울,Jan-10,-4.5,8.4,-15.3,2.3,3.7
108,서울,Feb-10,1.4,17.9,-10.8,2.4,4.8
108,서울,Mar-10,4.3,14.2,-4,2.9,6.2
108,서울,Apr-10,9.5,20.7,1.1,2.9,5.2
108,서울,May-10,17.2,28.6,5.8,2.6,5.4
108,서울,Jun-10,23.4,32.7,12.1,2.1,5
108,서울,Jul-10,25.8,32.3,21,2.5,7.4
108,서울,Aug-10,26.5,33.8,19.9,2.4,7.6
108,서울,Sep-10,21.8,31.4,8.4,2.3,5.9
108,서울,Oct-10,14.5,24.2,0.7,2.2,3.7
108,서울,Nov-10,6.5,17.4,-5.2,2.8,3.4
108,서울,Dec-10,-1.3,13.5,-15.1,3,4.1
108,서울,Jan-11,-7.2,0.3,-17.8,2.8,2.7
108,서울,Feb-11,1.2,13.2,-9.2,2.6,4
108,서울,Mar-11,3.6,16.8,-5.5,3.4,3.3
108,서울,Apr-11,10.7,19,4.3,3.2,4.7
108,서울,May-11,17.9,31.2,8.5,2.8,5.6
108,서울,Jun-11,22,32.9,14.4,2.9,6.1
108,서울,Jul-11,24.6,34.1,18.9,2.4,8
108,서울,Aug-11,25.8,34.1,18.1,2.5,7.5
108,서울,Sep-11,21.8,32.4,10.3,2.4,4.5
108,서울,Oct-11,14.2,23.4,3.1,2.1,3.8
108,서울,Nov-11,10.7,25.9,-5.5,2.7,6
108,서울,Dec-11,-0.9,9.1,-10.6,2.6,3.9
108,서울,Jan-12,-2.8,8.4,-12.2,2.5,3.6
108,서울,Feb-12,-2,12.1,-17.1,2.9,3.4
108,서울,Mar-12,5.1,16.2,-5.7,3.5,5.2
108,서울,Apr-12,12.3,29.4,0.6,3.4,4.6
108,서울,May-12,19.7,29.3,12,2.7,4.3
108,서울,Jun-12,24.1,33.5,16.3,2.8,5.4
108,서울,Jul-12,25.4,33.2,18.5,2.7,7.4
108,서울,Aug-12,27.1,36.7,18.7,3,6.8
108,서울,Sep-12,21,29.5,12,2.3,5.6
108,서울,Oct-12,15.3,26,2.8,2.3,3.6
108,서울,Nov-12,5.5,15.7,-3,2.7,4.5
108,서울,Dec-12,-4.1,8.3,-14.5,2.7,3.5
108,서울,Jan-13,-3.4,11.5,-16.4,2.7,4.3
108,서울,Feb-13,-1.2,13.9,-15.8,2.9,4.7
108,서울,Mar-13,5.1,23.8,-4.4,3,3.3
108,서울,Apr-13,10,21.6,1.3,3.4,5
